British name,IOC World Bird List international English name,Scientific name,Category,Codes,† BBRC species,‡ BBRC subspecies,Thumbnail,Images,Description
Sooty Shearwater,,Ardenna grisea,A,,,,,,
Great Shearwater,,Ardenna gravis,A,,,,,,
Manx Shearwater,,Puffinus puffinus,A,,,,,,
Yelkouan Shearwater,,Puffinus yelkouan,A,†,,,,,
Balearic Shearwater,,Puffinus mauretanicus,A,,,,,,
Barolo Shearwater,,Puffinus baroli,A,†,,,,,
Black Stork,,Ciconia nigra,AE,†,,,,,
White Stork,,Ciconia ciconia,AE,,,,,,
Ascension Frigatebird,,Fregata aquila,A,†,,,,,
Magnificent Frigatebird,,Fregata magnificens,A,†,,,,,
Gannet,Northern Gannet,Morus bassanus,A,,,,,,
Red-footed Booby,,Sula sula,A,†,,,,,
Cormorant,Great Cormorant,Phalacrocorax carbo,A,,,,,,
Shag,European Shag,Phalacrocorax aristotelis,A,,,,,,
Double-crested Cormorant,,Phalacrocorax auritus,AE,†,,,,,
Glossy Ibis,,Plegadis falcinellus,AE,,,,,,
Spoonbill,Eurasian Spoonbill,Platalea leucorodia,AE,,,,,,
Bittern,Eurasian Bittern,Botaurus stellaris,A,,,,,,
American Bittern,,Botaurus lentiginosus,A,†,,,,,
Little Bittern,,Ixobrychus minutus,A,†,,,,,
Night-heron,Black-crowned Night Heron,Nycticorax nycticorax,AE*,,,,,,
Green Heron,,Butorides virescens,A,†,,,,,
Squacco Heron,,Ardeola ralloides,A,†,,,,,
Chinese Pond Heron,,Ardeola bacchus,A,†,,,,,
Cattle Egret,Western Cattle Egret,Bubulcus ibis,AE,,,,,,
Grey Heron,,Ardea cinerea,A,,,,,,
Great Blue Heron,,Ardea herodias,A,†,,,,,
Purple Heron,,Ardea purpurea,A,,,,,,
Great White Egret,Great Egret,Ardea alba,A,,,,,,
Snowy Egret,,Egretta thula,A,†,,,,,
Little Egret,,Egretta garzetta,A,,,,,,
Dalmatian Pelican,,Pelecanus crispus,A,†,,,,,
Osprey,Western Osprey,Pandion haliaetus,AE*,,,,,,
Egyptian Vulture,,Neophron percnopterus,BDE,†,,,,,
Honey-buzzard,European Honey Buzzard,Pernis apivorus,A,,,,,,
Short-toed Eagle,Short-toed Snake Eagle,Circaetus gallicus,A,†,,,,,
Spotted Eagle,Greater Spotted Eagle,Clanga clanga,B,†,,,,,
Golden Eagle,,Aquila chrysaetos,AE,,,,,,
Sparrowhawk,Eurasian Sparrowhawk,Accipiter nisus,A,,,,,,
Goshawk,Northern Goshawk,Accipiter gentilis,AC3E*,,,,,,
Marsh Harrier,Western Marsh Harrier,Circus aeruginosus,A,,,,,,
Hen Harrier,,Circus cyaneus,A,,,,,,
Northern Harrier,,Circus hudsonius,A,†,,,,,
Pallid Harrier,,Circus macrourus,A,†,,,,,
Montagu's Harrier,,Circus pygargus,A,,,,,,
Red Kite,,Milvus milvus,AC3E*,,,,,,
Black Kite,,Milvus migrans,AE,,,,,,
White-tailed Eagle,,Haliaeetus albicilla,AC3E*,,,,,,
Rough-legged Buzzard,,Buteo lagopus,AE,,,,,,
Buzzard,Common Buzzard,Buteo buteo,AE*,,,,,,
Barn Owl,Western Barn Owl,Tyto alba,AE*,‡,,,,,
Scops Owl,Eurasian Scops Owl,Otus scops,A,†,,,,,
Snowy Owl,,Bubo scandiacus,AE,†,,,,,
Tawny Owl,,Strix aluco,A,,,,,,
Hawk Owl,Northern Hawk-Owl,Surnia ulula,A,†,,,,,
Little Owl,,Athene noctua,C1E*,,,,,,
Tengmalm's Owl,Boreal Owl,Aegolius funereus,A,†,,,,,
Long-eared Owl,,Asio otus,A,,,,,,
Short-eared Owl,,Asio flammeus,A,,,,,,
Hoopoe,Eurasian Hoopoe,Upupa epops,AE,,,,,,
Roller,European Roller,Coracias garrulus,A,†,,,,,
Kingfisher,Common Kingfisher,Alcedo atthis,A,,,,,,
Belted Kingfisher,,Megaceryle alcyon,A,†,,,,,
Blue-cheeked Bee-eater,,Merops persicus,A,†,,,,,
Bee-eater,European Bee-eater,Merops apiaster,A,,,,,,
Wryneck,Eurasian Wryneck,Jynx torquilla,A,,,,,,
Yellow-bellied Sapsucker,,Sphyrapicus varius,A,†,,,,,
Lesser Spotted Woodpecker,,Dryobates minor,A,,,,,,
Great Spotted Woodpecker,,Dendrocopos major,A,,,,,,
Green Woodpecker,European Green Woodpecker,Picus viridis,A,,,,,,
Lesser Kestrel,,Falco naumanni,A,†,,,,,
Kestrel,Common Kestrel,Falco tinnunculus,A,,,,,,
American Kestrel,,Falco sparverius,AE,†,,,,,
Red-footed Falcon,,Falco vespertinus,A,,,,,,
Amur Falcon,,Falco amurensis,AE,†,,,,,
Eleonora's Falcon,,Falco eleonorae,A,†,,,,,
Merlin,,Falco columbarius,A,‡,,,,,
Hobby,Eurasian Hobby,Falco subbuteo,A,,,,,,
Gyr Falcon,Gyrfalcon,Falco rusticolus,AE,†,,,,,
Peregrine,Peregrine Falcon,Falco peregrinus,AE,,,,,,
Ring-necked Parakeet,Rose-ringed Parakeet,Psittacula krameri,C1E*,,,,,,
Eastern Phoebe,,Sayornis phoebe,A,†,,,,,
Acadian Flycatcher,,Empidonax virescens,A,†,,,,,
Alder Flycatcher,,Empidonax alnorum,A,†,,,,,
Eastern Kingbird,,Tyrannus tyrannus,A,†,,,,,
Brown Shrike,,Lanius cristatus,A,†,,,,,
Red-backed Shrike,,Lanius collurio,A,,,,,,
Daurian Shrike,Isabelline Shrike,Lanius isabellinus,A,†,,,,,
Turkestan Shrike,Red-tailed Shrike,Lanius phoenicuroides,A,†,,,,,
Long-tailed Shrike,,Lanius schach,A,†,,,,,
Lesser Grey Shrike,,Lanius minor,A,†,,,,,
Great Grey Shrike,,Lanius excubitor,AE,‡,,,,,
Woodchat Shrike,,Lanius senator,A,‡,,,,,
Masked Shrike,,Lanius nubicus,A,†,,,,,
Yellow-throated Vireo,,Vireo flavifrons,A,†,,,,,
Philadelphia Vireo,,Vireo philadelphicus,A,†,,,,,
Red-eyed Vireo,,Vireo olivaceus,A,†,,,,,
Golden Oriole,Eurasian Golden Oriole,Oriolus oriolus,A,,,,,,
Jay,Eurasian Jay,Garrulus glandarius,A,,,,,,
Magpie,Eurasian Magpie,Pica pica,A,,,,,,
Nutcracker,Spotted Nutcracker,Nucifraga caryocatactes,A,†,,,,,
Chough,Red-billed Chough,Pyrrhocorax pyrrhocorax,AE*,,,,,,
Jackdaw,Western Jackdaw,Coloeus monedula,A,,,,,,
Rook,,Corvus frugilegus,A,,,,,,
Carrion Crow,,Corvus corone,A,,,,,,
Hooded Crow,,Corvus cornix,A,,,,,,
Raven,Northern Raven,Corvus corax,A,,,,,,
Waxwing,Bohemian Waxwing,Bombycilla garrulus,AE,,,,,,
Cedar Waxwing,,Bombycilla cedrorum,AE,†,,,,,
Coal Tit,,Periparus ater,A,,,,,,
Crested Tit,European Crested Tit,Lophophanes cristatus,A,‡,,,,,
Marsh Tit,,Poecile palustris,A,,,,,,
Willow Tit,,Poecile montanus,A,‡,,,,,
Blue Tit,Eurasian Blue Tit,Cyanistes caeruleus,A,,,,,,
Great Tit,,Parus major,A,,,,,,
Penduline Tit,Eurasian Penduline Tit,Remiz pendulinus,A,,,,,,
Bearded Tit,Bearded Reedling,Panurus biarmicus,A,,,,,,
Woodlark,,Lullula arborea,A,,,,,,
White-winged Lark,,Alauda leucoptera,A,†,,,,,
Skylark,Eurasian Skylark,Alauda arvensis,A,,,,,,
Crested Lark,,Galerida cristata,AE,†,,,,,
Shore Lark,Horned Lark,Eremophila alpestris,A,‡,,,,,
Short-toed Lark,Greater Short-toed Lark,Calandrella brachydactyla,A,,,,,,
Bimaculated Lark,,Melanocorypha bimaculata,A,†,,,,,
Calandra Lark,,Melanocorypha calandra,A,†,,,,,
Black Lark,,Melanocorypha yeltoniensis,A,†,,,,,
Lesser Short-toed Lark,,Alaudala rufescens,A,†,,,,,
Sand Martin,,Riparia riparia,A,,,,,,
Tree Swallow,,Tachycineta bicolor,A,†,,,,,
Purple Martin,,Progne subis,A,†,,,,,
Swallow,Barn Swallow,Hirundo rustica,AE,,,,,,
Crag Martin,Eurasian Crag Martin,Ptyonoprogne rupestris,A,†,,,,,
House Martin,Common House Martin,Delichon urbicum,A,,,,,,
Red-rumped Swallow,,Cecropis daurica,A,‡,,,,,
American Cliff Swallow,,Petrochelidon pyrrhonota,A,†,,,,,
Cetti's Warbler,,Cettia cetti,A,,,,,,
Long-tailed Tit,,Aegithalos caudatus,A,‡,,,,,
Wood Warbler,,Phylloscopus sibilatrix,A,,,,,,
Western Bonelli's Warbler,,Phylloscopus bonelli,A,†,,,,,
Eastern Bonelli's Warbler,,Phylloscopus orientalis,A,†,,,,,
Hume's Warbler,Hume's Leaf Warbler,Phylloscopus humei,A,†,,,,,
Yellow-browed Warbler,,Phylloscopus inornatus,A,,,,,,
Pallas's Warbler,Pallas's Leaf Warbler,Phylloscopus proregulus,A,,,,,,
Radde's Warbler,,Phylloscopus schwarzi,A,,,,,,
Dusky Warbler,,Phylloscopus fuscatus,A,,,,,,
Willow Warbler,,Phylloscopus trochilus,A,,,,,,
Chiffchaff,Common Chiffchaff,Phylloscopus collybita,A,,,,,,
Iberian Chiffchaff,,Phylloscopus ibericus,A,†,,,,,
Eastern Crowned Warbler,,Phylloscopus coronatus,A,†,,,,,
Green Warbler,,Phylloscopus nitidus,A,†,,,,,
Two-barred Greenish Warbler,Two-barred Warbler,Phylloscopus plumbeitarsus,A,†,,,,,
Greenish Warbler,,Phylloscopus trochiloides,A,,,,,,
Pale-legged Leaf Warbler,,Phylloscopus tenellipes,A,†,,,,,
Arctic Warbler,,Phylloscopus borealis,A,,,,,,
Great Reed Warbler,,Acrocephalus arundinaceus,A,†,,,,,
Aquatic Warbler,,Acrocephalus paludicola,A,†,,,,,
Sedge Warbler,,Acrocephalus schoenobaenus,A,,,,,,
Paddyfield Warbler,,Acrocephalus agricola,A,†,,,,,
Blyth's Reed Warbler,,Acrocephalus dumetorum,A,,,,,,
Reed Warbler,Eurasian Reed Warbler,Acrocephalus scirpaceus,A,‡,,,,,
Marsh Warbler,,Acrocephalus palustris,A,,,,,,
Thick-billed Warbler,,Arundinax aedon,A,†,,,,,
Booted Warbler,,Iduna caligata,A,†,,,,,
Sykes's Warbler,,Iduna rama,A,†,,,,,
Eastern Olivaceous Warbler,,Iduna pallida,A,†,,,,,
Olive-tree Warbler,,Hippolais olivetorum,A,†,,,,,
Melodious Warbler,,Hippolais polyglotta,A,,,,,,
Icterine Warbler,,Hippolais icterina,A,,,,,,
Pallas's Grasshopper Warbler,,Helopsaltes certhiola,A,†,,,,,
Lanceolated Warbler,,Locustella lanceolata,A,†,,,,,
River Warbler,,Locustella fluviatilis,A,†,,,,,
Savi's Warbler,,Locustella luscinioides,A,†,,,,,
Grasshopper Warbler,Common Grasshopper Warbler,Locustella naevia,A,‡,,,,,
Fan-tailed Warbler,Zitting Cisticola,Cisticola juncidis,A,†,,,,,
Blackcap,Eurasian Blackcap,Sylvia atricapilla,A,,,,,,
Garden Warbler,,Sylvia borin,A,,,,,,
Barred Warbler,,Curruca nisoria,A,,,,,,
Lesser Whitethroat,,Curruca curruca,A,‡,,,,,
Western Orphean Warbler,,Curruca hortensis,A,†,,,,,
